Symbol,Name,Sector,Price,Price/Earnings,Earnings/Share,52 Week High,52 Week Low
OXY,Occidental Petroleum,Energy,68.47,195.63,-0.75,78.09,57.2
OMC,Omnicom Group,Consumer Discretionary,75.91,15.27,4.79,86.71,65.32
OKE,ONEOK,Energy,54.4,34,1.66,61.36,47.14
ORCL,Oracle Corp.,Information Technology,46.84,18.81,2.2,53.14,40.01
PCAR,PACCAR Inc.,Industrials,66.98,15.72,4.75,79.69,61.93
PKG,Packaging Corporation of America,Materials,111.95,18.57,7.07,131.1316,88.47
PH,Parker-Hannifin,Industrials,174.51,21.6,7.24,212.8,145.38
PDCO,Patterson Companies,Health Care,32.88,14.05,1.79,48.295,32.07
PAYX,Paychex Inc.,Information Technology,61.86,27.49,2.26,73.1,54.2
PYPL,PayPal,Information Technology,72.32,49.53,1.47,86.32,39.92
PNR,Pentair Ltd.,Industrials,66.67,18.89,3.63,74.84,57.63
PBCT,People's United Financial,Financials,18.56,18.02,0.97,20.14,15.965
PEP,PepsiCo Inc.,Consumer Staples,110.15,21.51,4.36,122.51,104.77
PKI,PerkinElmer,Health Care,72.06,24.68,2.64,84.49,52.63
PRGO,Perrigo,Health Care,84.44,,-28.01,95.93,63.68
PFE,Pfizer Inc.,Health Care,33.63,12.69,3.51,39.43,31.67
PCG,PG&E Corp.,Utilities,38.24,8.75,2.78,71.57,38.45
PM,Philip Morris International,Consumer Staples,100.39,22.36,4.48,123.55,96.66
PSX,Phillips 66,Energy,92.44,21.11,9.93,107.47,75.135
PNW,Pinnacle West Capital,Utilities,74.34,16.06,3.95,92.48,73.81
PXD,Pioneer Natural Resources,Energy,169.16,118.29,-3.39,199.83,125.46
PNC,PNC Financial Services,Financials,149.38,17.55,10.4,160.07,115.25
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,101.32,17.74,-1.19,119.33,66.06
PPG,PPG Industries,Materials,110.3,18.73,6.31,122.0697,99.57
PPL,PPL Corp.,Utilities,29.52,12.83,2.79,40.2,29.205
PX,Praxair Inc.,Materials,144.07,24.63,4.32,166.95,115.53
PCLN,Priceline.com Inc,Consumer Discretionary,1806.06,24.26,42.66,2067.99,1589
PFG,Principal Financial Group,Financials,60.38,11.96,4.5,75.585,58.9401
PG,Procter & Gamble,Consumer Staples,80.22,20.46,5.6,94.67,80.1
PGR,Progressive Corp.,Financials,51.07,20.76,2.73,58.25,36.84
PLD,Prologis,Real Estate,58.33,20.76,3.06,67.53,48.69
PRU,Prudential Financial,Financials,103.38,9.99,9.73,127.14,97.88
PEG,Public Serv. Enterprise Inc.,Utilities,46.73,16.11,1.75,53.28,41.67
PSA,Public Storage,Real Estate,180.49,18.21,6.81,232.21,180.9254
PHM,Pulte Homes Inc.,Consumer Discretionary,28.67,12.86,1.44,35.21,21.06
PVH,PVH Corp.,Consumer Discretionary,142.68,20.98,6.77,157.96,84.53
QRVO,Qorvo,Information Technology,76.85,19.71,-0.13,85.24,62.68
QCOM,QUALCOMM Inc.,Information Technology,62.42,16.51,1.65,69.28,48.92
PWR,Quanta Services Inc.,Industrials,33.51,17.54,1.28,40.105,30.23
DGX,Quest Diagnostics,Health Care,96.42,17.07,5.5,112.965,90.1
RRC,Range Resources Corp.,Energy,12.82,35.61,-2.79,34.09,12.7
RJF,Raymond James Financial Inc.,Financials,86.06,16.94,4.12,99.1,71.35
RTN,Raytheon Co.,Industrials,198.74,25.78,6.95,213.45,147.86
O,Realty Income Corporation,Real Estate,47.56,15.54,1.12,63.6,48.89
RHT,Red Hat Inc.,Information Technology,124.65,79.9,1.68,135.77,78.48
REG,Regency Centers Corporation,Real Estate,55.58,15.27,1.43,72.05,56.66
REGN,Regeneron,Health Care,322.62,27.93,7.74,543.5518,319.5
RF,Regions Financial Corp.,Financials,17.9,17.9,1,19.9,13
RSG,Republic Services Inc,Industrials,62.72,26.13,1.77,69.4,57.53
RMD,ResMed,Health Care,89.26,31.54,2.41,104.78,67.04
RHI,Robert Half International,Industrials,52.26,20.18,2.32,60.59,42.92
ROK,Rockwell Automation Inc.,Industrials,178.73,26.48,6.35,210.72,147.67
COL,Rockwell Collins,Industrials,133.31,22.29,4.8,139.63,89.9
ROP,Roper Technologies,Industrials,259.4,27.57,9.38,290.415,191.22
ROST,Ross Stores,Consumer Discretionary,75.06,26.52,2.83,85.66,52.85
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,122.45,16.26,7.53,135.65,93.4
SPGI,"S&P Global, Inc.",Financials,173.31,27.38,7.95,185.38,124.64
CRM,Salesforce.com,Information Technology,104.03,520.15,0.27,114.52,79.63
SBAC,SBA Communications,Real Estate,159.85,199.81,0.62,177.67,103.51
SCG,SCANA Corp,Utilities,35.6,8.75,4.16,71.28,35.31
SLB,Schlumberger Ltd.,Energy,67.4,44.93,-1.08,82.71,61.02
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,86.46,16.04,5.18,88.87,64.87
STX,Seagate Technology,Information Technology,47.44,11.51,2.58,56.45,30.6
SEE,Sealed Air,Materials,42.62,21.31,2.46,50.62,41.22
SRE,Sempra Energy,Utilities,103.36,19.14,5.45,122.975,100.63
SHW,Sherwin-Williams,Materials,387.65,26.75,18.61,435.15,302.0101
SIG,Signet Jewelers,Consumer Discretionary,49.38,6.65,7.03,77.94,46.09
SPG,Simon Property Group Inc,Real Estate,152.18,13.56,6.25,187.35,150.15
SWKS,Skyworks Solutions,Information Technology,99.04,16.45,5.41,117.65,90.53
SLG,SL Green Realty,Real Estate,90.61,14.07,0.88,115.34,91.2
SNA,Snap-On Inc.,Consumer Discretionary,156.72,15.81,9.2,185.47,140.83
SO,Southern Co.,Utilities,43.4,15.78,2.53,53.51,42.63
LUV,Southwest Airlines,Industrials,55.63,15.89,5.82,66.985,49.76
SWK,Stanley Black & Decker,Consumer Discretionary,152.86,20.57,8.05,176.62,121.09
SBUX,Starbucks Corp.,Consumer Discretionary,53.77,25.98,1.97,64.87,52.58
STT,State Street Corp.,Financials,98.54,15.35,5.23,114.27,75.27
SRCL,Stericycle Inc,Industrials,70.55,16.26,2.08,88,61.25
SYK,Stryker Corp.,Health Care,148.01,23.46,2.68,170,122.01
STI,SunTrust Banks,Financials,65.8,16.25,4.48,72.06,51.96
SYMC,Symantec Corp.,Information Technology,25.59,39.37,-0.17,34.2,25.65
SYF,Synchrony Financial,Financials,34.98,13.35,2.41,40.59,26.01
SNPS,Synopsys Inc.,Information Technology,82.62,67.72,0.87,94.8,64.75
SYY,Sysco Corp.,Consumer Staples,57,22.98,2.08,64.27,48.85
TROW,T. Rowe Price Group,Financials,101.99,19.92,4.75,120.07,66.7
TPR,"Tapestry, Inc.",Consumer Discretionary,48.85,,2.09,50.71,36.69
TGT,Target Corp.,Consumer Discretionary,71.11,14.19,4.71,78.7,48.56
TEL,TE Connectivity Ltd.,Information Technology,95.27,19.72,4.71,108.23,71.93
FTI,TechnipFMC,Energy,29.1,18.77,0,35,24.53
TXN,Texas Instruments,Information Technology,97.66,24.05,3.6,120.75,74.52
TXT,Textron Inc.,Industrials,55.54,22.13,1.14,62.19,45
BK,The Bank of New York Mellon Corp.,Financials,53.29,14.76,3.73,58.99,44.91
CLX,The Clorox Company,Consumer Staples,127.76,23.44,5.33,150.4,124.09
COO,The Cooper Companies,Health Care,223.17,22.96,7.52,256.39,187.02
HSY,The Hershey Company,Consumer Staples,97.65,20.51,3.66,116.49,98.851
MOS,The Mosaic Company,Materials,24.13,23.66,0.85,34.36,19.23
TRV,The Travelers Companies Inc.,Financials,135.01,16.48,7.31,150.55,113.76
DIS,The Walt Disney Company,Consumer Discretionary,101.35,17.78,5.7,116.1,96.2
TMO,Thermo Fisher Scientific,Health Care,198.73,21.84,5.6,226.44,151.69
TIF,Tiffany & Co.,Consumer Discretionary,99.62,27,3.55,111.44,77.93
TWX,Time Warner Inc.,Consumer Discretionary,93.02,15.35,6.62,103.9,85.88
TJX,TJX Companies Inc.,Consumer Discretionary,74.36,21.01,3.46,81.46,66.44
TMK,Torchmark Corp.,Financials,80.52,17.02,4.5,93.595,73.53
TSS,Total System Services,Information Technology,81.17,25.85,3.16,89.92,50.96
TSCO,Tractor Supply Company,Consumer Discretionary,65.94,19.57,3.3,82.68,49.87
TDG,TransDigm Group,Industrials,283,23.76,7.92,321.38,203.72
TRIP,TripAdvisor,Consumer Discretionary,40.05,58.04,0.81,53.29,29.5
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,34.56,17.81,1.59,39.135,24.81
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,34.09,17.57,1.59,38.56,24.3
TSN,Tyson Foods,Consumer Staples,73.92,13.92,4.79,84.65,57.2
USB,U.S. Bancorp,Financials,52.65,15.35,3.52,58.5,49.535
UDR,UDR Inc,Real Estate,32.92,17.79,1.08,40.71,33.31
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,209.09,32.07,6.52,314.86,187.96
UAA,Under Armour Class A,Consumer Discretionary,13.14,32.05,0.45,23.46,11.4
UA,Under Armour Class C,Consumer Discretionary,11.95,29.15,0.45,21.805,10.36
UNP,Union Pacific,Industrials,124.86,22.06,13.52,143.05,101.06
UAL,United Continental Holdings,Industrials,63.37,8.85,7.05,83.04,56.51
UNH,United Health Group Inc.,Health Care,216.46,21.47,10.71,250.79,156.49
UPS,United Parcel Service,Industrials,109.28,18.27,5.62,135.53,102.12
URI,"United Rentals, Inc.",Industrials,161.99,16.33,15.72,189,100.621
UTX,United Technologies,Industrials,127.48,19.26,5.7,139.24,107.05
UHS,"Universal Health Services, Inc.",Health Care,114.87,15.36,7.14,129.74,95.26
UNM,Unum Group,Financials,47.87,11.51,4.38,58.73,43.55
VFC,V.F. Corp.,Consumer Discretionary,78.75,25.9,2.55,82.95,48.05
VLO,Valero Energy,Energy,86.77,18.74,9.24,99.95,60.69
VAR,Varian Medical Systems,Health Care,112.82,29.93,2.69,130.29,77.73
VTR,Ventas Inc,Real Estate,50.92,12.21,1.86,72.36,51.8
VRSN,Verisign Inc.,Information Technology,105.62,29.5,3.43,118.28,81.17
VRSK,Verisk Analytics,Industrials,92.28,28.84,3.45,100.54,75.6
VZ,Verizon Communications,Telecommunication Services,49.04,13.08,7.36,54.77,42.8
VRTX,Vertex Pharmaceuticals Inc,Health Care,151.6,252.67,1.04,174.955,84.39
VIAB,Viacom Inc.,Consumer Discretionary,32.71,8.68,4.68,46.72,22.13
V,Visa Inc.,Information Technology,113.86,32.72,2.8,126.88,84.88
VNO,Vornado Realty Trust,Real Estate,66.18,16.22,4.33,111.72,66.0101
VMC,Vulcan Materials,Materials,121.47,40.9,3.1,141.2,108.95
WMT,Wal-Mart Stores,Consumer Staples,100.02,23.1,4.39,109.98,66.89
WBA,Walgreens Boots Alliance,Consumer Staples,68.22,13.38,3.78,88,63.82
WM,Waste Management Inc.,Industrials,79.12,25.36,2.66,89.73,69.55
WAT,Waters Corporation,Health Care,191.79,26.64,0.19,220.2,145.94
WEC,Wec Energy Group Inc,Utilities,59.5,19.57,3.79,70.09,56.63
WFC,Wells Fargo,Financials,55.4,13.58,4.07,66.31,49.27
HCN,Welltower Inc.,Real Estate,54.67,12.74,2.81,78.17,55.29
WDC,Western Digital,Information Technology,80.09,10.19,1.29,95.77,71.38
WU,Western Union Co,Information Technology,18.81,10.17,0.51,22.21,18.39
WRK,WestRock Company,Materials,60.93,23.26,2.77,71.55,49.23
WY,Weyerhaeuser Corp.,Real Estate,33.6,34.29,0.77,37.89,30.9504
WHR,Whirlpool Corp.,Consumer Discretionary,164.95,11.77,4.51,202.99,158.8
WMB,Williams Cos.,Energy,28.56,48.41,-0.57,33.67,26.8188
WLTW,Willis Towers Watson,Financials,152.36,18.67,3.07,165,120.869
WYN,Wyndham Worldwide,Consumer Discretionary,113.56,18.77,5.53,127.96,80.11
WYNN,Wynn Resorts Ltd,Consumer Discretionary,169.28,31.7,7.27,203.63,92.67
XEL,Xcel Energy Inc,Utilities,42.44,18.14,2.21,52.22,41.16
XRX,Xerox Corp.,Information Technology,29.8,8.87,0.59,37.42,26.64
XLNX,Xilinx Inc,Information Technology,62.82,27.19,2.32,77.26,54.99
XL,XL Capital,Financials,41.26,-19.93,-2.24,47.27,33.77
XYL,Xylem Inc.,Industrials,70.24,30.94,1.83,76.81,46.86
YUM,Yum! Brands Inc,Consumer Discretionary,76.3,27.25,4.07,86.93,62.85
ZBH,Zimmer Biomet Holdings,Health Care,115.53,14.32,9.01,133.49,108.17
ZION,Zions Bancorp,Financials,50.71,17.73,2.6,55.61,38.43
ZTS,Zoetis,Health Care,71.51,32.8,1.65,80.13,52
