Symbol,Name,Sector,Price,Price/Earnings,Earnings/Share,52 Week High,52 Week Low
BMY,Bristol-Myers Squibb,Health Care,62.69,20.83,2.65,66.1,51.12
AVGO,Broadcom,Information Technology,229.57,15.94,4.01,285.68,202.61
BF.B,Brown-Forman Corp.,Consumer Staples,63.33,37.04,1.7,69.9028,45.415
CHRW,C. H. Robinson Worldwide,Industrials,90.47,26,3.57,100.18,63.41
CA,"CA, Inc.",Information Technology,32.66,14.32,1.85,36.56,30.45
COG,Cabot Oil & Gas,Energy,23.01,60.55,-0.92,29.57,21.4
CDNS,Cadence Design Systems,Information Technology,36.82,34.09,0.74,46,29.01
CPB,Campbell Soup,Consumer Staples,44.83,14.84,2.89,64.23,43.5
COF,Capital One Financial,Financials,91.8,11.85,3.45,106.5,76.05
CAH,Cardinal Health Inc.,Health Care,66.63,12.29,4.04,84.88,54.66
KMX,Carmax Inc,Consumer Discretionary,64.34,19.44,3.97,77.64,54.29
CCL,Carnival Corp.,Consumer Discretionary,66.76,17.48,3.58,72.7,54.75
CAT,Caterpillar Inc.,Industrials,145.99,21.22,1.26,173.24,90.34
CBOE,CBOE Holdings,Financials,111.15,35.06,2.27,138.54,76.75
CBG,CBRE Group,Real Estate,41.92,15.82,1.69,46.6,30.43
CBS,CBS Corp.,Consumer Discretionary,51.8,12.05,2.81,70.095,52.75
CELG,Celgene Corp.,Health Care,91.02,13.27,3.58,147.17,92.85
CNC,Centene Corporation,Health Care,100.36,19.12,3.23,112.42,65.03
CNP,CenterPoint Energy,Utilities,25.85,19.73,1,30.45,25.51
CTL,CenturyLink Inc,Telecommunication Services,16.2,8.35,1.16,27.61,13.161
CERN,Cerner,Health Care,61.22,27.09,1.84,73.86,51.2617
CF,CF Industries Holdings Inc,Materials,37.46,-59.46,-1.2,43.98,25.04
SCHW,Charles Schwab Corporation,Financials,48.9,29.82,1.61,56.25,37.16
CHTR,Charter Communications,Consumer Discretionary,348.65,162.92,34.08,408.83,308.3
CHK,Chesapeake Energy,Energy,2.82,4.7,-6.44,6.59,2.8
CVX,Chevron Corp.,Energy,112.3,27.52,4.85,133.88,102.55
CMG,Chipotle Mexican Grill,Consumer Discretionary,266.01,45.86,0.8,499,263
CB,Chubb Limited,Financials,140.39,17.5,8.2,157.5,130.17
CHD,Church & Dwight,Consumer Staples,47.38,24.42,2.92,54.1799,43.21
CI,CIGNA Corp.,Health Care,189.27,18.11,7.2,227.13,141.93
XEC,Cimarex Energy,Energy,100.19,26.37,-4.64,136.31,89.49
CINF,Cincinnati Financial,Financials,70.34,27.48,3.55,81.98,68.24
CTAS,Cintas Corporation,Industrials,149.32,32.75,4.38,169.96,113.79
CSCO,Cisco Systems,Information Technology,38.77,17.87,1.91,42.98,30.36
C,Citigroup Inc.,Financials,71.87,13.48,-3.1,80.7,56.14
CFG,Citizens Financial Group,Financials,42.19,16.04,3.27,48.23,31.51
CTXS,Citrix Systems,Information Technology,84.53,20.37,-0.24,95,73.3346
CME,CME Group Inc.,Financials,153.04,32.15,11.94,163,114.8176
CMS,CMS Energy,Utilities,41.77,21.42,1.99,50.85,41.07
KO,Coca-Cola Company (The),Consumer Staples,43.1,22.8,1.49,48.615,40.22
CTSH,Cognizant Technology Solutions,Information Technology,75.16,22.44,2.54,79.28,54.76
CL,Colgate-Palmolive,Consumer Staples,68.95,24.02,2.28,77.91,66.26
CMCSA,Comcast Corp.,Consumer Discretionary,38.19,18.54,4.74,44,34.78
CMA,Comerica Inc.,Financials,89.18,18.89,4.13,98.18,64.04
CAG,Conagra Brands,Consumer Staples,35.49,18.2,1.46,41.68,32.16
CXO,Concho Resources,Energy,140.09,84.39,-11.04,162.91,106.73
COP,ConocoPhillips,Energy,53.24,72.93,-0.65,61.315,42.265
ED,Consolidated Edison,Utilities,74.73,18.64,4.1,89.7,72.63
STZ,Constellation Brands,Consumer Staples,208.73,30.92,8.71,229.5,152.01
GLW,Corning Inc.,Information Technology,28.45,16.45,-0.78,35.1,26.31
COST,Costco Wholesale Corp.,Consumer Staples,178.61,30.69,6.09,199.88,150
COTY,"Coty, Inc",Consumer Staples,19.96,24.64,-0.63,21.175,14.24
CCI,Crown Castle International Corp.,Real Estate,103.81,21.45,1.02,114.97,86.93
CSRA,CSRA Inc.,Information Technology,30.85,15.12,1.83,33.79,27.38
CSX,CSX Corp.,Industrials,50.47,21.94,6.07,60.04,45.41
